gene_name	synonyms	ecocyc_accession	common_name	position_min	summary	gene_product	b_number
EG10822		ECK2211	rcsC	49.918156		MONOMER0-4194 // PHOSPHO-RCSC // RCSC-MONOMER	b2218
EG10821		ECK2210	rcsB	49.89984		PHOSPHO-RCSB // RCSB-MONOMER	b2217
EG10820	cpsR	ECK1949	rcsA	43.604477		PD02233	b1951
G7137	yohL	ECK2098	rcnR	47.085045		G7137-MONOMER	b2105
G7139	yohN	ECK2100	rcnB	47.115986		G7139-MONOMER	b2107
G7138	yohM	ECK2099	rcnA	47.093513		G7138-MONOMER	b2106
G6175	ykgD	ECK0304	rclR	6.8989882		G6175-MONOMER	b0305
G6171	ykgB	ECK0301	rclC	6.845106		G6171-MONOMER	b0301
G6173	ykgI	ECK0302	rclB	6.85814		G6173-MONOMER	b0303
G6174	ykgC	ECK0303	rclA	6.865573		G6174-MONOMER	b0304
EG12247	yhjC	ECK3506	rcdB	79.11869		EG12247-MONOMER	b3521
G6444	ybjK	ECK0836	rcdA	19.118689		G6444-MONOMER	b0846
EG11901	ydaC	ECK1344	rcbA	30.453188		EG11901-MONOMER	b1347
EG10819		ECK3747	rbsR	84.845375		PD03867	b3753
EG10818		ECK3746	rbsK	84.82527		RIBOKIN-MONOMER	b3752
EG10817	rbsP	ECK3742	rbsD	84.740326		EG10817-MONOMER	b3748
EG10816	rbsP // rbsT	ECK3744	rbsC	84.78206		RBSC-MONOMER	b3750
EG10815	prlB // rbsP	ECK3745	rbsB	84.80338		RBSB-MONOMER	b3751
EG10814	rbsT // rbsP	ECK3743	rbsA	84.74953		RBSA-MONOMER	b3749
G7175	zipD // ecoZ // rnz // elaC	ECK2262	rbn	51.30949		G7175-MONOMER	b2268
EG11178	sdr-43 // yhbB	ECK3156	rbfA	71.37064		EG11178-MONOMER	b3167
EG12223	yhiG // yhiH	ECK3471	rbbA	78.13604		YHIH-MONOMER	b3486
G6112	yafM	ECK0229	rayT	5.335105		G6112-MONOMER	b0228
EG11731	yieN	ECK3740	ravA	84.659454		EG11731-MONOMER	b3746
G7358	yfjG	ECK2615	ratA	59.338528		G7358-MONOMER	b2619
EG11466	yigH	ECK3813	rarD	86.24705		EG11466-MONOMER	b3819
EG12690	ycaJ // mgsA	ECK0883	rarA	20.208193		EG12690-MONOMER	b0892
EG12146	yhbJ	ECK3194	rapZ	72.11043		EG12146-MONOMER	b3205
EG11083	yabA // hepA	ECK0060	rapA	1.300356		EG11083-MONOMER	b0059
EG11900	ydaB // lar	ECK1345	ralR	30.457539		EG11900-MONOMER	b1348
G0-16600		ECK4571	ralA	30.453726		RNA0-385	b4714
EG11151	urf1 // yfiA // pY	ECK2594	raiA	58.96939		EG11151-MONOMER	b2597
EG12045	yejJ // yejI // yejH	ECK2178	radD	49.134056		EG12045-MONOMER	b2184
EG11296	sms	ECK4381	radA	99.6609		EG11296-MONOMER	b4389
G6680	rarC // ydaR	ECK1354	racR	30.587494		G6680-MONOMER	b1356
EG10813	sbcA	ECK1348	racC	30.538437		EG10813-MONOMER	b1351
G6307	ybcQ	ECK0543	quuD	12.365339		G6307-MONOMER	b0551
G7843	yjeS	ECK4162	queG	94.64148		G7843-MONOMER	b4166
G7452	yqcD	ECK2789	queF	63.023853		G7452-MONOMER	b2794
G7443	ygcF	ECK2771	queE	62.580025		G7443-MONOMER	b2777
G7431	ygcM // sscR	ECK2760	queD	62.310017		G7431-MONOMER	b2765
G6245	ybaX	ECK0438	queC	10.014796		G6245-MONOMER	b0444
EG10812	tsaA	ECK0399	queA	9.15646		EG10812-MONOMER	b0405
EG12139	yfhG	ECK2552	qseG	57.9275		EG12139-MONOMER	b2555
EG12658	ygiY	ECK3017	qseC	68.30508		MONOMER0-4171 // EG12658-MONOMER	b3026
G7575	ygiX	ECK3016	qseB	68.29094		MONOMER0-2741 // G7575-MONOMER	b3025
G7868	ytfG	ECK4207	qorB	95.50832		G7868-MONOMER	b4211
EG11492	hzc // hcz // qor	ECK4043	qorA	91.84765		QOR-MONOMER	b4051
G6265	ybbK	ECK0483	qmcA	11.092086		G6265-MONOMER	b0489
G7243	ypdA	ECK2376	pyrS	53.8315		MONOMER0-4287 // G7243-MONOMER	b2380
G7244	ypdB	ECK2377	pyrR	53.86838		MONOMER0-4288 // G7244-MONOMER	b2381
EG11279	pyrE- // pyrE-LP	ECK4241	pyrL	96.3536		EG11279-MONOMER	b4246
EG10811		ECK4239	pyrI	96.323166		ASPCARBREG-MONOMER	b4244
EG11539	umk // smbA	ECK0170	pyrH	4.133334		UMPKI-MONOMER	b0171
EG10810		ECK2774	pyrG	62.650734		CTPSYN-MONOMER	b2780
EG10809		ECK1276	pyrF	28.91042		OROTPDECARB-MONOMER	b1281
EG10808		ECK3632	pyrE	82.193306		OROPRIBTRANS-MONOMER	b3642
EG10807		ECK0936	pyrD	21.646776		DIHYDROOROTOX-MONOMER	b0945
EG10806		ECK1047	pyrC	24.16297		DIHYDROOROT-MONOMER	b1062
EG10805		ECK4240	pyrB	96.333374		ASPCARBCAT-MONOMER	b4245
EG10804		ECK1672	pykF	37.824852		PKI-MONOMER	b1676
EG10803		ECK1855	pykA	41.744812		PKII-MONOMER	b1854
G6381	ybgK	ECK0701	pxpC	16.034012		G6381-MONOMER	b0712
G6380	ybgJ	ECK0700	pxpB	16.020008		G6380-MONOMER	b0711
G6382	ybgL	ECK0702	pxpA	16.053875		G6382-MONOMER	b0713
EG12431	ycjC	ECK1294	puuR	29.341084		EG12431-MONOMER	b1299
G6643	ycjJ	ECK1291	puuP	29.25256		B1296-MONOMER	b1296
G6646	goaG	ECK1297	puuE	29.419481		G6646-MONOMER	b1302
G6645	ycjL	ECK1293	puuD	29.324043		G6645-MONOMER	b1298
EG10036	aldH	ECK1295	puuC	29.35901		ALDHDEHYDROG-MONOMER	b1300
EG11822	ycjA // ordL	ECK1296	puuB	29.391087		EG11822-MONOMER	b1301
G6644	ycjK	ECK1292	puuA	29.288927		G6644-MONOMER	b1297
EG10802	putC	ECK1006	putP	23.252605		PUTP-MONOMER	b1015
EG10801	putC // poaA	ECK1005	putA	23.158134		PUTA-MONOMER	b1014
EG11819	ychI // tgs	ECK1227	purU	27.744045		FORMYLTHFDEFORMYL-MONOMER	b1232
EG11809		ECK1850	purT	41.599007		GARTRANSFORMYL2-MONOMER	b1849
EG10800		ECK1654	purR	37.440205		PD00219	b1658
EG10799	ade(c) // ade	ECK2496	purN	56.49355		GART-MONOMER	b2500
EG10798	purG // purI	ECK2495	purM	56.47121		AIRS-MONOMER	b2499
EG10797	purI	ECK2555	purL	57.98918		FGAMSYN-MONOMER	b2557
EG10796	purE2	ECK0515	purK	11.882127		PURK-MONOMER	b0522
EG10795		ECK3998	purH	90.61306		AICARTRANSIMPCYCLO-CPLX	b4006
EG10794	ade(ub) // ade // purC	ECK2306	purF	52.324497		PRPPAMIDOTRANS-MONOMER	b2312
EG10793	ade(f) // Pur2 // ade3 // ade	ECK0516	purE	11.90505		PURE-MONOMER	b0523
EG10792	adth(a) // adth	ECK3997	purD	90.58504		GLYCRIBONUCSYN-MONOMER	b4005
EG10791	ade(g) // ade	ECK2472	purC	55.947857		SAICARSYN-MONOMER	b2476
EG11314	ade(h) // ade	ECK1117	purB	25.650696		ASL-MONOMER	b1131
EG10790	adeK	ECK4173	purA	94.89481		ADENYLOSUCCINATE-SYN-MONOMER	b4177
EG12188	ygdO // ygdF	ECK2825	ptsP	63.903713		MONOMER0-4291 // EG12188-MONOMER	b2829
EG11682	yhbI // rpoP	ECK3193	ptsN	72.098854		MONOMER0-4293 // EG11682-MONOMER	b3204
EG10789	ctr	ECK2411	ptsI	54.59405		PTSI-MONOMER	b2416
EG10788	ctr // hpr	ECK2410	ptsH	54.587547		PTSH-PHOSPHORYLATED // PTSH-MONOMER	b2415
EG10787	umgC // umg // tgl // CR // car // cat // catB2 // glcA // gptA	ECK1087	ptsG	24.945192		MONOMER0-4389 // PTSG-MONOMER	b1101
EG11906	yijH // frwA // pt1A	ECK3939	ptsA	89.186356		EG11906-MONOMER	b3947
EG11004	tlp	ECK1846	ptrB	41.510628		EG11004-MONOMER	b1845
EG10786	ptr	ECK2817	ptrA	63.684135		EG10786-MONOMER	b2821
EG10785	rap	ECK1192	pth	27.100891		EG10785-MONOMER	b1204
EG20173		ECK2291	pta	52.02344		PHOSACETYLTRANS-MONOMER	b2297
EG12032	pscT // yeiM	ECK2157	psuT	48.605217		YEIM-MONOMER	b2164
EG11646	yeiC // pscK	ECK2159	psuK	48.65412		EG11646-MONOMER	b2166
EG12033	yeiN // pscG	ECK2158	psuG	48.63417		EG12033-MONOMER	b2165
EG10734	R2pho // T // nmpA // phoR2a // phoS	ECK3721	pstS	84.247696		PSTS-MONOMER	b3728
EG10784	phoW	ECK3720	pstC	84.22517		PSTC-MONOMER	b3727
EG10783	phoT	ECK3718	pstB	84.185394		PSTB-MONOMER	b3725
EG10782	R2pho // phoR2 // phoR2b // phoT	ECK3719	pstA	84.20599		PSTA-MONOMER	b3726
G0-17028		ECK4639	pssL	58.65804		MONOMER0-4494	b4782
EG10781	pss	ECK2583	pssA	58.658577		PHOSPHASERSYN-MONOMER	b2585
G0-16700		ECK4615	pspH	91.8453		RNA0-400	b4758
EG11933	yjbO	ECK4042	pspG	91.83885		EG11933-MONOMER	b4050
EG12344	ycjB	ECK1298	pspF	29.44932		EG12344-MONOMER	b1303
EG10780		ECK1303	pspE	29.508654		EG10780-MONOMER	b1308
EG10779		ECK1302	pspD	29.502275		EG10779-MONOMER	b1307
EG10778		ECK1301	pspC	29.494349		EG10778-MONOMER	b1306
EG10777		ECK1300	pspB	29.489523		EG10777-MONOMER	b1305
EG10776	cog	ECK1299	pspA	29.473967		EG10776-MONOMER	b1304
EG11401		ECK0379	psiF	8.688308		EG11401-MONOMER	b0384
EG11209	yjbA	ECK4022	psiE	91.35379		EG11209-MONOMER	b4030
EG10775		ECK4156	psd	94.56529		PSD-MONOMER // PHOSPHASERDECARB-BETA-MONOMER // PHOSPHASERDECARB-ALPHA-MONOMER	b4160
G0-16660		ECK4465	psaA	59.848778	psaA: "<b>p</b>seudogene of <b>S</b>sr<b>A</b>, at CP4-57 attachment site"

Comment in EcoGene: "ssrA pseudogene, CP4-57 attachment site duplication; putative defective prophage.  A 15 bp duplication flanks CP4-57: the last 15 bp of ssrA and the 14 bp psaA' tRNA pseudogene, plus 1 distal bp."		b4645
EG10774	dnaR // prsA	ECK1195	prs	27.165499		PRPPSYN-MONOMER	b1207
G6195	yahP	ECK0328	prpR	7.472706		G6195-MONOMER	b0330
G6200	yahU	ECK0332	prpE	7.5987167		G6200-MONOMER	b0335
G6199	yahT // acnC	ECK0331	prpD	7.566595		G6199-MONOMER	b0334
G6198	yzzD // yahS	ECK0330	prpC	7.5406775		G6198-MONOMER	b0333
G6196	yahQ	ECK0329	prpB	7.512024		G6196-MONOMER	b0331
G6233	yajM	ECK0396	proY	9.069745		PROY-MONOMER	b0402
EG10773	osrA // proU	ECK2673	proX	60.477		PROX-MONOMER	b2679
EG10772	osrA // proU	ECK2672	proW	60.45283		PROW-MONOMER	b2678
EG10771	osrA // proU	ECK2671	proV	60.427086	
	PROV-MONOMER	b2677
EG10770	drp // drpA	ECK0194	proS	4.6762877		PROS-MONOMER	b0194
EG12866	yoeC // yobE // yebJ	ECK1830	proQ	41.253326		EG12866-MONOMER	b1831
EG11612		ECK4104	proP	93.29657		PROP-MONOMER	b4111
EG30068	proU	ECK3792	proM	85.80425		proM-tRNA	b3799
EG30067	proW	ECK2183	proL	49.254253		proL-tRNA	b2189
EG30066	proV	ECK3532	proK	79.89862		proK-tRNA	b3545
EG10769	pro(3) // Pro2 // pro3	ECK0381	proC	8.7217865		PYRROLINECARBREDUCT-MONOMER	b0386
EG10768	pro(2) // pro2	ECK0243	proB	5.6098127		GLUTKIN-MONOMER	b0242
EG10767	pro(1) // pro1	ECK0244	proA	5.633835		GLUTSEMIALDEHYDROG-MONOMER	b0243
EG12424	hemK	ECK1200	prmC	27.276796		EG12424-MONOMER	b1212
EG12449	yfcB	ECK2324	prmB	52.729244		EG12449-MONOMER	b2330
EG11497	yhdI // prm-1	ECK3246	prmA	73.44519		EG11497-MONOMER	b3259
EG10955	sohA // prlFA	ECK3117	prlF	70.59991		EG10955-MONOMER	b3129
EG11441	opdA	ECK3483	prlC	78.48801		EG11441-MONOMER	b3498
EG12365	yhfF	ECK3343	prkB	75.07004		EG12365-MONOMER	b3355
EG10765		ECK0461	priC	10.562726		EG10765-MONOMER	b0467
EG10764		ECK4197	priB	95.34364		EG10764-MONOMER	b4201
EG10763	srgA	ECK3927	priA	88.86086		EG10763-MONOMER	b3935
EG11496		ECK0237	prfH	5.4657693		EG11496-MONOMER	b0236
EG12114	miaD // tos	ECK4366	prfC	99.305466		EG12114-MONOMER	b4375
EG10762	supK	ECK2886	prfB	65.39017		EG10762-MONOMER	b2891
EG10761	ups? // sueB // uar	ECK1199	prfA	27.253489		EG10761-MONOMER	b1211
G7145	yeiT	ECK2139	preT	48.130127		G7145-MONOMER	b2146
EG11289	yeiA	ECK2140	preA	48.15667		EG11289-MONOMER	b2147
EG10760	tsp	ECK1829	prc	41.20878		EG10760-MONOMER	b1830
EG11744	pqqM // pqqE // yddC	ECK1488	pqqL	33.87602		EG11744-MONOMER	b1494
G6492	ymbA	ECK0943	pqiC	21.864975		G6492-MONOMER	b0952
G6491	pqi5 // pqi5B	ECK0942	pqiB	21.829706		G6491-MONOMER	b0951
G6490	pqi5 // pqi5A	ECK0941	pqiA	21.802605		G6490-MONOMER	b0950
EG11403		ECK2498	ppx	56.55562		PPX-MONOMER	b2502
EG11761	ydcE	ECK1455	pptA	33.028156		EG11761-MONOMER	b1461
EG11132	ydiA	ECK1701	ppsR	38.508812		EG11132-MONOMER	b1703
EG10759	pps	ECK1700	ppsA	38.450405		PEPSYNTH-MONOMER	b1702
G7539	yghH	ECK2967	pppA	67.07834		G7539-MONOMER	b2972
EG12159	yaiE	ECK0386	ppnP	8.793787		EG12159-MONOMER	b0391
EG12373	ygdH	ECK2790	ppnN	63.044537		EG12373-MONOMER	b2795
EG11510		ECK2497	ppk	56.511		PPK-MONOMER	b2501
G6242	ybaU	ECK0435	ppiD	9.951522		G6242-MONOMER	b0441
EG12352	parvA	ECK3767	ppiC	85.30437		EG12352-MONOMER	b3775
EG10758		ECK0518	ppiB	11.934177		EG10758-MONOMER	b0525
EG10757	rot // rotA	ECK3351	ppiA	75.225914		EG10757-MONOMER	b3363
G7111	yegK	ECK2066	pphC	46.356575		G7111-MONOMER	b2072
G7415	ygbH // prpB	ECK2729	pphB	61.610825		G7415-MONOMER	b2734
G7011	yebX // prpA	ECK1837	pphA	41.414417		G7011-MONOMER	b1838
EG12107		ECK0107	ppdD	2.5230026		EG12107-MONOMER	b0108
EG11154	ygdA	ECK2819	ppdC	63.82299		EG11154-MONOMER	b2823
EG11156	ygdC	ECK2821	ppdB	63.838326		EG11156-MONOMER	b2825
EG12081		ECK2822	ppdA	63.850266		EG12081-MONOMER	b2826
EG10756	asp // glu	ECK3947	ppc	89.41745		PEPCARBOX-MONOMER	b3956
EG10755		ECK4222	ppa	95.85213		INORGPYROPHOSPHAT-MONOMER	b4226
EG10754		ECK0862	poxB	19.590675		PYRUVOXID-MONOMER	b0871
EG11632		ECK0848	potI	19.326826		POTI-MONOMER	b0857
EG11631		ECK0847	potH	19.306358		POTH-MONOMER	b0856
EG11630		ECK0846	potG	19.281734		POTG-MONOMER	b0855
EG11629		ECK0845	potF	19.25573		POTF-MONOMER	b0854
EG10753		ECK0680	potE	15.445924		POTE-MONOMER	b0692
EG10752		ECK1109	potD	25.460396		POTD-MONOMER	b1123
EG10751		ECK1110	potC	25.482866		POTC-MONOMER	b1124
EG10750		ECK1111	potB	25.499907		POTB-MONOMER	b1125
EG10749		ECK1112	potA	25.518026		POTA-MONOMER	b1126
EG10747	dinA	ECK0061	polB	1.3665178		EG10747-MONOMER	b0060
EG10746	resA	ECK3855	polA	87.18805		EG10746-MONOMER	b3863
EG11700		ECK0740	pnuC	16.87257		PNUC-MONOMER	b0751
EG10745		ECK1597	pntB	36.085686		PNTB-MONOMER	b1602
EG10744		ECK1598	pntA	36.11583		PNTA-MONOMER	b1603
EG10743	bfl	ECK3152	pnp	71.289986		EG10743-MONOMER	b3164
G7409	ygaD	ECK2695	pncC	60.837154		G7409-MONOMER	b2700
EG10742		ECK0922	pncB	21.310387		NICOTINATEPRIBOSYLTRANS-MONOMER	b0931
EG11135	nam // ydjB	ECK1766	pncA	39.897152		NICOTINAMID-MONOMER	b1768
G0-10707		ECK4515	pmrR	93.33134		MONOMER0-4214	b4703
G7172		ECK2253	pmrD	51.1299		G7172-MONOMER	b2259
EG11674	ygiH	ECK3049	plsY	69.0421		EG11674-MONOMER	b3059
EG11437		ECK1076	plsX	24.72441		EG11437-MONOMER	b1090
EG11377	parF	ECK3009	plsC	68.13833		1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	b3018
EG10740		ECK4033	plsB	91.64933		GLYCEROL-3-P-ACYLTRANSFER-MONOMER	b4041
G6615	ycgK	ECK1166	pliG	26.436085		G6615-MONOMER	b1178
EG10739		ECK3819	pldB	86.37378		EG10739-MONOMER	b3825
EG10738		ECK3815	pldA	86.28096		MONOMER0-341	b3821
EG12278	yiaJ	ECK3563	plaR	80.61104		EG12278-MONOMER	b3574
EG11896	yeeF	ECK2008	plaP	44.93452		YEEF-MONOMER	b2014
EG12883		ECK2981	pitB	67.53785		PITB-MONOMER	b2987
EG12230	pit	ECK3478	pitA	78.36955		PITA-MONOMER	b3493
G6697	ynaD	ECK1369	pinR	30.87444		G6697-MONOMER	b1374
G6819	ydfL	ECK1538	pinQ	35.19484		G6819-MONOMER	b1545
G7383	ypjG	ECK2645	pinH	59.9585	No information about this gene was found by a literature search conducted on September 21, 2016.	G7383-MONOMER	b2648
EG10737	pin	ECK1144	pinE	26.06152		EG10737-MONOMER	b1158
EG10736	phrB	ECK0697	phr	15.931979		EG10736-MONOMER	b0708
G7731	yhfV	ECK3366	php	75.570335		G7731-MONOMER	b3379
EG10735	phoT // pst	ECK3717	phoU	84.16946		EG10735-MONOMER	b3724
EG10733	R1pho // phoR1 // nmpB	ECK0394	phoR	9.003023		PHOR-MONOMER	b0400
EG10732		ECK1115	phoQ	25.601143		PHOQ-MONOMER	b1129
EG10731		ECK1116	phoP	25.632599		PHOSPHO-PHOP // PHOP-MONOMER	b1130
EG11734	psiH	ECK1010	phoH	23.375126		EG11734-MONOMER	b1020
EG10729	ompE	ECK0242	phoE	5.580879		MONOMER0-282	b0241
EG10728	phoRc // phoT	ECK0393	phoB	8.98693		PHOSPHO-PHOB // PHOB-MONOMER	b0399
EG10727	psiA	ECK0378	phoA	8.655259		ALKAPHOSPHA-MONOMER	b0383
EG10725		ECK4085	phnP	92.94846		EG10725-MONOMER	b4092
EG10724		ECK4086	phnO	92.964836		EG10724-MONOMER	b4093
EG10723		ECK4087	phnN	92.9739		EG10723-MONOMER	b4094
EG10722		ECK4088	phnM	92.9859		EG10722-MONOMER	b4095
EG10721		ECK4089	phnL	93.010315		PHNL-MONOMER	b4096
EG10720		ECK4090	phnK	93.02735		PHNK-MONOMER	b4097
EG10719		ECK4091	phnJ	93.04362		EG10719-MONOMER	b4098
EG10718		ECK4092	phnI	93.061676		EG10718-MONOMER	b4099
EG10717		ECK4093	phnH	93.084595		EG10717-MONOMER	b4100
EG10716		ECK4094	phnG	93.097115		EG10716-MONOMER	b4101
EG10715		ECK4095	phnF	93.10687		EG10715-MONOMER	b4102
EG11283	ECK4097 // b4103 // b4104	ECK4096	phnE	93.12294		PHNE-MONOMER	b4583
EG10714	phn // psiD	ECK4098	phnD	93.14218		PHND-MONOMER	b4105
EG10713		ECK4099	phnC	93.16461		PHNC-MONOMER	b4106
EG30065	pheC	ECK2962	pheV	67.00989		pheV-tRNA	b2967
EG30064	pheR // pheW	ECK4128	pheU	93.98704		pheU-tRNA	b4134
EG10710		ECK1711	pheT	38.683575		PHET-MONOMER	b1713
EG10709	phe-act	ECK1712	pheS	38.735325		PHES-MONOMER	b1714
EG10708		ECK0568	pheP	12.968637		PHEP-MONOMER	b0576
EG11272	phtL	ECK1713	pheM	38.762623		EG11272-MONOMER	b1715
EG11271	pheAE	ECK2595	pheL	58.97898		EG11271-MONOMER	b2598
EG10707		ECK2596	pheA	58.98213		CHORISMUTPREPHENDEHYDRAT-MONOMER	b2599
EG10706		ECK1911	pgsA	42.92155		PHOSPHAGLYPSYN-MONOMER	b1912
G6664	ycjZ	ECK1325	pgrR	29.98913		G6664-MONOMER	b1328
EG11371	yfhB	ECK2558	pgpC	58.124023		EG11371-MONOMER	b2560
EG10705		ECK1273	pgpB	28.854597		PGPPHOSPHAB-MONOMER	b1278
EG10704	yajN	ECK0412	pgpA	9.405897		PGPPHOSPHAA-MONOMER	b0418
EG12144	blu	ECK0676	pgm	15.372932		PHOSPHOGLUCMUT-MONOMER	b0688
G6397	ybhE	ECK0756	pgl	17.204779		6PGLUCONOLACT-MONOMER	b0767
EG10703		ECK2922	pgk	66.17168		PGK	b2926
EG10702		ECK4017	pgi	91.21231		PGLUCISOM	b4025
EG12097	yfiH	ECK2591	pgeF	58.907967		EG12097-MONOMER	b2593
G6528	hmsS // ycdP	ECK1011	pgaD	23.399126		G6528-MONOMER	b1021
G6529	hmsR // ycdQ	ECK1012	pgaC	23.408068		G6529-MONOMER	b1022
G6530	hmsF // ycdR	ECK1013	pgaB	23.43646		G6530-MONOMER	b1023
G6531	hmsH // ycdS	ECK1014	pgaA	23.480133		G6531-MONOMER	b1024
EG11910	yijL	ECK3942	pflD	89.27845		EG11910-MONOMER	b3951
EG11911	yijM	ECK3943	pflC	89.3272		EG11911-MONOMER	b3952
EG10701	pfl	ECK0894	pflB	20.494255		PYRUVFORMLY-MONOMER	b0903
EG10028	act	ECK0893	pflA	20.474176		PFLACTENZ-MONOMER	b0902
EG10700		ECK1721	pfkB	38.91653		6PFK-2-MONOMER	b1723
EG10699		ECK3908	pfkA	88.493324		6PFK-1-MONOMER	b3916
G6129		ECK0256	perR	5.8015766		G6129-MONOMER	b0254
EG11549		ECK1113	pepT	25.547886		EG11549-MONOMER	b1127
EG10698		ECK3839	pepQ	86.84755		EG10698-MONOMER	b3847
EG10697		ECK2903	pepP	65.785095		EG10697-MONOMER	b2908
EG10696		ECK0923	pepN	21.342014		EG10696-MONOMER	b0932
EG11920		ECK4013	pepE	91.11956		EG11920-MONOMER	b4021
EG10695	pepH	ECK0238	pepD	5.47777		EG10695-MONOMER	b0237
EG12310	yfhI	ECK2520	pepB	57.201077		EG12310-MONOMER	b2523
EG10694	carP // xerB	ECK4253	pepA	96.613014		EG10694-MONOMER	b4260
G0-10555	ybcD	ECK0532	peaD	12.202035	Overexpression of <i>ybcD</i> slightly increases resistance to the toxin benzethonium chloride |CITS: [21173244]|.		b4508
G6879	ydgS	ECK1632	pdxY	36.948612		PDXY-MONOMER	b1636
G7259	yfeI // thiJ // pdxL	ECK2413	pdxK	54.644035		PDXK-MONOMER	b2418
EG10693		ECK2562	pdxJ	58.19045		PDXJ-MONOMER	b2564
EG11309	ydbC	ECK1399	pdxI	31.760696		EG11309-MONOMER	b1406
EG11487		ECK1634	pdxH	36.998703		PDXH-MONOMER	b1638
G0-9461	usg-2	ECK2314	pdxB	52.49672		ERYTHRON4PDEHYDROG-MONOMER	b2320
EG10691		ECK0053	pdxA	1.1294901		PDXA-MONOMER	b0052
EG11088	aceC // genA // yacB	ECK0112	pdhR	2.6303566		EG11088-MONOMER	b0113
G6639	yciR // gmr	ECK1280	pdeR	28.971518		G6639-MONOMER	b1285
G7148	rtn	ECK2170	pdeN	48.920643		G7148-MONOMER	b2176
EG11236	yahA	ECK0313	pdeL	7.160619		EG11236-MONOMER	b0315
EG12256	yhjK	ECK3514	pdeK	79.36032		EG12256-MONOMER	b3529
G6433	yliE	ECK0823	pdeI	18.807507		G6433-MONOMER	b0833
EG12252	yhjH	ECK3510	pdeH	79.24808		EG12252-MONOMER	b3525
G6608	ycgG	ECK1155	pdeG	26.226181		G6608-MONOMER	b1168
G7314	yfgF	ECK2499	pdeF	56.589657		G7314-MONOMER	b2503
G6996	yoaD	ECK1813	pdeD	40.899815		G6996-MONOMER	b1815
EG11938	yjcC	ECK4053	pdeC	92.11098		EG11938-MONOMER	b4061
G6252	ylaB	ECK0451	pdeB	10.277957		G6252-MONOMER	b0457
EG11145	yfeA	ECK2389	pdeA	54.19715		EG11145-MONOMER	b2395
EG10690		ECK0142	pcnB	3.3981218		EG10690-MONOMER	b0143
EG10689		ECK2738	pcm	61.807587		EG10689-MONOMER	b2743
EG10688	pckA	ECK3390	pck	76.11122		PEPCARBOXYKIN-MONOMER	b3403
EG12015	yohB	ECK2127	pbpG	47.91264		EG12015-MONOMER	b2134
G7322	yfgN	ECK2515	pbpC	56.9843		G7322-MONOMER	b2519
G7474	ygeJ	ECK2852	pbl	64.50159		G7474-MONOMER	b2854
G0-16654		ECK4464	pawZ	53.35566	pawZ: "<b>p</b>seudogene of <b>a</b>rg<b>W</b>, at CPS-53 attachment site" 

Comment in EcoGene: "16 bp duplicate sequences, attL and attR, flank CPS-53: the last 15 bp of argW (plus 1) and the 15 bp pawZ' tRNA pseudogene fragment (plus 1)."		b4643
G7350	yfiQ // pka	ECK2582	patZ	58.598816		G7350-MONOMER	b2584
G6755	prr // ydcW	ECK1438	patD	32.65169		G6755-MONOMER	b1444
G7596	oat // pat // ygjG	ECK3063	patA	69.360954		G7596-MONOMER	b3073
EG10687	nfxD	ECK3021	parE	68.37014		EG10687-MONOMER	b3030
EG10686		ECK3010	parC	68.15925		EG10686-MONOMER	b3019
G6154	yagQ	ECK0282	paoD	6.4151726		G6154-MONOMER	b0283
G6155	yagR	ECK0283	paoC	6.4359846		G6155-MONOMER	b0284
G6156	yagS	ECK0284	paoB	6.483274		G6156-MONOMER	b0285
G6157	yagT	ECK0285	paoA	6.5038047		G6157-MONOMER	b0286
EG12211	livL // panM // yhhK	ECK3443	panZ	77.51516		MONOMER0-4437 // EG12211-MONOMER	b3459
EG10685		ECK3245	panF	73.41367		PANF-MONOMER	b3258
G6239	apbA	ECK0419	panE	9.557028		2-DEHYDROPANTOATE-REDUCT-MONOMER	b0425
EG11747		ECK0130	panD	3.152197		MONOMER0-1843 // MONOMER0-1842 // ASPDECARBOX-MONOMER	b0131
EG11746		ECK0132	panC	3.1873133		PANTOATE-BETA-ALANINE-LIG-MONOMER	b0133
EG11675		ECK0133	panB	3.205906		3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	b0134
EG10684	excC	ECK0730	pal	16.784262		EG10684-MONOMER	b0741
EG12180	ybeG // crcA	ECK0615	pagP	14.144899		EG12180-MONOMER	b0622
EG11493		ECK1082	pabC	24.846756		ADCLY-MONOMER	b1096
EG10683		ECK1810	pabB	40.82178		PABASYN-COMPI-MONOMER	b1812
EG10682		ECK3348	pabA	75.19448		PABASYN-COMPII-MONOMER	b3360
G6708	ydbN // maoC	ECK1384	paaZ	31.273285		G6708-MONOMER	b1387
G6721	ydbZ	ECK1397	paaY	31.550642		G6721-MONOMER	b1400
G6720	ydbY	ECK1396	paaX	31.530561		G6720-MONOMER	b1399
G6719		ECK1395	paaK	31.500097		G6719-MONOMER	b1398
G6718	ydbW	ECK1394	paaJ	31.473557		G6718-MONOMER	b1397
G6717	ydbV	ECK1393	paaI	31.464466		G6717-MONOMER	b1396
G6716	hbdH // ydbU	ECK1392	paaH	31.433937		G6716-MONOMER	b1395
G6715	ydbT	ECK1391	paaG	31.416916		G6715-MONOMER	b1394
